PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Joe Smith,LAL,35,6-10,225,Maryland,USA,1995,1,1,16,0.5,1.3,0.3,-6.8,4.30%,21.70%,13.30%,23.70%,9.30%
Joe Johnson,ATL,30,6-7,240,Arkansas,USA,2001,1,10,72,18.2,4,4.7,1.6,2.50%,9.70%,26.10%,51.70%,23.00%
Jodie Meeks,PHI,23,6-4,208,Kentucky,USA,2009,2,41,74,10.5,2.3,1.1,2,1.10%,7.60%,15.20%,60.00%,5.60%
Joakim Noah,CHI,26,6-11,232,Florida,USA,2007,1,9,48,11.7,10.4,2.2,5.7,12.00%,20.00%,16.30%,57.90%,10.50%
Jerryd Bayless,TOR,22,6-3,200,Arizona,USA,2008,1,11,71,9.2,2.3,3.7,-9.3,1.80%,9.50%,21.70%,53.60%,29.40%
Jerry Stackhouse,MIA,36,6-6,218,North Carolina,USA,1995,1,3,7,1.7,1,0.4,-7.2,1.90%,13.00%,15.50%,39.80%,10.00%
Jermaine Taylor,SAC,24,6-4,210,Central Florida,USA,2009,2,32,34,6.6,1.8,0.9,-9.8,5.30%,8.00%,22.00%,53.50%,10.50%
Jermaine O'Neal,BOS,32,6-11,255,None,USA,1996,1,17,24,5.4,3.7,0.5,1.7,6.80%,14.10%,17.10%,50.40%,4.60%
Jeremy Lin,GSW,22,6-3,200,Harvard,USA,Undrafted,Undrafted,Undrafted,29,2.6,1.2,1.4,2.5,3.90%,8.20%,15.10%,45.80%,20.70%
Jeremy Evans,UTA,23,6-9,196,Western Kentucky,USA,2010,2,55,49,3.6,2,0.5,-1.9,8.20%,14.20%,14.40%,67.80%,9.00%
Jeff Teague,ATL,23,6-2,180,Wake Forest,USA,2009,1,19,70,5.2,1.5,2,-3.4,1.20%,9.70%,19.30%,52.10%,23.60%
Jeff Green,BOS,24,6-9,235,Georgetown,USA,2007,1,5,75,13.3,4.8,1.4,0.6,3.30%,12.10%,19.30%,53.80%,7.50%
Jeff Foster,IND,34,6-11,250,Southwest Texas State,USA,1999,1,21,56,3.3,6.3,0.8,4.3,15.40%,19.80%,9.80%,49.70%,7.30%
Jeff Adrien,GSW,25,6-7,243,Connecticut,USA,Undrafted,Undrafted,Undrafted,23,2.5,2.5,0.4,1.6,11.70%,18.70%,15.90%,45.70%,7.50%
Jawad Williams,CLE,28,6-9,225,North Carolina,USA,Undrafted,Undrafted,Undrafted,26,4,1.8,0.8,-11.4,1.70%,11.80%,16.40%,39.60%,9.30%
Jason Williams,MEM,35,6-1,180,Florida,USA,1998,1,7,27,2,1.1,1.9,5.2,1.00%,9.10%,12.50%,40.30%,24.40%
Jason Thompson,SAC,24,6-11,250,Rider University,USA,2008,1,12,75,8.8,6.1,1.2,-3.3,8.20%,18.30%,17.80%,53.30%,7.80%
Jason Terry,DAL,33,6-2,180,Arizona,USA,1999,1,10,82,15.8,1.9,4.1,5.9,1.00%,5.10%,24.00%,54.50%,22.30%
Jason Smith,NOH,25,7-0,240,Colorado State,USA,2007,1,20,77,4.3,3.1,0.5,1.3,8.50%,14.10%,16.30%,49.00%,5.50%
Jason Richardson,ORL,30,6-6,225,Michigan State,USA,2001,1,5,80,15.6,4.1,1.8,4.9,2.60%,9.80%,20.20%,55.50%,8.70%
Jason Maxiell,DET,28,6-7,260,Cincinnati,USA,2005,1,26,57,4.2,3,0.3,-6.8,7.70%,12.60%,14.00%,51.00%,2.80%
Jason Kidd,DAL,38,6-4,210,California,USA,1994,1,2,80,7.9,4.4,8.2,2.7,1.40%,12.20%,14.00%,50.00%,35.70%
Jason Kapono,PHI,30,6-8,215,UCLA,USA,2003,2,31,24,0.7,0.5,0.2,8.5,2.40%,6.50%,10.90%,27.70%,4.30%
Jason Collins,ATL,32,7-0,255,Stanford,USA,2001,1,18,49,2,2.1,0.4,8.4,5.80%,12.50%,9.40%,53.90%,5.10%
Jarron Collins,POR,32,6-11,249,Stanford,USA,2001,2,52,28,0.7,0.9,0.1,0.9,7.30%,5.80%,7.70%,37.40%,1.80%
Jarrett Jack,NOH,27,6-3,197,Georgia Tech,USA,2005,1,22,83,8.9,2.1,2.9,-4.7,1.20%,9.60%,22.40%,50.30%,25.10%
Jared Jeffries,NYK,29,6-11,240,Indiana,USA,2002,1,11,42,1.8,2.8,0.9,11.4,10.70%,9.50%,8.80%,37.50%,7.90%
Jared Dudley,PHX,25,6-7,225,Boston College,USA,2007,1,22,82,10.6,3.9,1.3,-0.5,5.40%,9.80%,16.70%,59.80%,7.80%
James Posey,IND,34,6-8,217,Xavier,USA,1999,1,18,49,4.9,3,0.7,-1.4,1.10%,16.70%,14.30%,48.50%,6.80%
James Jones,MIA,30,6-8,215,Miami,USA,2003,2,49,81,5.9,2,0.5,6.8,1.60%,8.80%,11.50%,62.90%,4.30%
James Johnson,TOR,24,6-9,245,Wake Forest,USA,2009,1,16,38,7.1,3.7,2.3,-3.1,4.90%,13.20%,18.00%,50.50%,16.10%
