PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Elijah Millsap,UTA,28,6-6,225,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,20,1.8,1.8,1,7.4,3.30%,15.20%,14.10%,38.40%,16.40%
Garrett Temple,WAS,30,6-6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,80,7.3,2.7,1.8,0,1.80%,9.10%,14.00%,52.00%,10.20%
Greivis Vasquez,MIL,29,6-6,217,Maryland,Venezuela,2010,1,28,23,5.7,2,4,-9.7,1.10%,9.30%,18.40%,43.50%,32.00%
JR Smith,CLE,30,6-6,225,No College,USA,2004,1,18,77,12.4,2.8,1.7,6.5,1.80%,7.60%,17.70%,54.20%,8.20%
Jae Crowder,BOS,25,6-6,235,Marquette,USA,2012,2,34,73,14.2,5.1,1.8,4.8,2.80%,12.50%,18.10%,56.50%,8.70%
James Anderson,SAC,27,6-6,213,Oklahoma State,USA,2010,1,20,51,3.5,1.7,0.8,-4.8,1.70%,9.10%,13.40%,46.90%,7.80%
James Young,BOS,20,6-6,215,Kentucky,USA,2014,1,17,29,1,0.9,0.3,-5.7,1.90%,11.30%,9.20%,38.40%,6.30%
Joe Harris,CLE,24,6-6,219,Virginia,USA,2014,2,33,5,0.6,0.6,0.4,-73.9,0.00%,33.30%,12.80%,37.50%,18.20%
Jonathon Simmons,SAS,26,6-6,195,Houston,USA,2012,0,0,55,6,1.7,1.1,6.3,2.20%,9.90%,18.30%,58.60%,10.80%
Josh Richardson,MIA,22,6-6,200,Tennessee,USA,2015,2,40,52,6.6,2.1,1.4,1.8,2.00%,7.50%,13.40%,56.90%,9.80%
Justin Anderson,DAL,22,6-6,228,Virginia,USA,2015,1,21,55,3.8,2.4,0.5,1.4,2.60%,16.70%,15.20%,52.20%,7.10%
